,status,age,total_length,wingspan,weight,beak_head,humerus,femur,legbone,skull,sternum
65,Survived,juvenile,156,237,23.3,30.6,0.69,0.66,1.01,0.59,0.77
66,Survived,juvenile,162,253,26.7,32.0,0.76,0.73,1.20,0.63,0.88
67,Survived,juvenile,163,254,26.4,32.0,0.77,0.75,1.16,0.61,0.89
68,Survived,juvenile,164,251,26.9,32.0,0.75,0.74,1.17,0.62,0.89
69,Survived,juvenile,163,244,24.3,31.3,0.72,0.68,1.08,0.61,0.89
70,Survived,juvenile,160,247,27.0,31.5,0.76,0.73,1.18,0.62,0.85
71,Survived,juvenile,160,250,26.8,32.5,0.76,0.73,1.12,0.63,0.84
72,Survived,juvenile,158,247,24.9,32.4,0.75,0.72,1.14,0.59,0.87
73,Survived,juvenile,158,249,26.1,32.2,0.74,0.74,1.15,0.60,0.82
74,Survived,juvenile,158,243,26.6,32.4,0.75,0.71,1.16,0.61,0.89
75,Survived,juvenile,155,237,23.3,30.2,0.69,0.65,1.01,0.59,0.79
76,Perished,juvenile,160,249,24.0,30.4,0.74,0.72,1.13,0.62,0.84
77,Perished,juvenile,156,236,26.8,30.2,0.69,0.67,1.07,0.56,0.83
78,Perished,juvenile,158,240,23.5,31.0,0.71,0.70,1.11,0.60,0.81
79,Perished,juvenile,166,245,26.9,31.7,0.71,0.69,1.11,0.60,0.85
80,Perished,juvenile,165,255,28.6,31.5,0.77,0.74,1.17,0.61,0.85
81,Perished,juvenile,157,238,24.7,31.2,0.68,0.68,1.16,0.60,0.77
82,Perished,juvenile,164,250,27.3,31.8,0.76,0.73,1.17,0.59,0.86
83,Perished,juvenile,166,256,25.7,31.7,0.75,0.75,1.19,0.60,0.86
84,Perished,juvenile,167,255,29.0,32.2,0.76,0.75,1.20,0.64,0.86
85,Perished,juvenile,161,246,25.0,31.5,0.74,0.71,1.12,0.59,0.85
86,Perished,juvenile,166,254,27.5,31.4,0.76,0.74,1.12,0.60,0.91
87,Perished,juvenile,161,251,26.0,31.5,0.73,0.71,1.12,0.59,0.83
